movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Baby: Secret of the Lost Legend,male,1,22-Mar-85,Adventure,,"$14,276,095 ","$33,900,697.00"
Return to Oz,female,2,21-Jun-85,Adventure,,"$10,618,813 ","$25,215,934.00"
The Black Cauldron,male,1,24-Jul-85,Adventure,,"$21,288,692 ","$50,553,142.00"
My Science Project,ale, ,9-Aug-85,Comedy,,"$4,100,000 ","$9,736,051.00"
The Journey of Natty Gann,female,2,27-Sep-85,Drama,,"$9,468,512 ","$22,302,956.00"
One Magic Christmas,male,1,22-Nov-85,Drama,,"$13,229,514 ","$31,415,432.00"
Down and Out in Beverly Hills,female,2,31-Jan-86,Comedy,R,"$62,134,225 ","$141,183,693.00"
Off Beat,male,1,11-Apr-86,Comedy,,"$4,842,778 ","$11,003,932.00"
Ruthless People,female,2,27-Jun-86,Comedy,R,"$71,624,879 ","$162,748,712.00"
The Great Mouse Detective,male,1,2-Jul-86,Adventure,,"$23,605,534 ","$53,637,367.00"
Flight of the Navigator,male,1,30-Jul-86,Adventure,,"$18,564,613 ","$42,183,197.00"
Tough Guys,male,1,3-Oct-86,Comedy,,"$21,458,229 ","$48,758,184.00"
The Color of Money,male,1,17-Oct-86,Drama,R,"$52,293,000 ","$117,957,323.00"
Outrageous Fortune,male,1,30-Jan-87,Comedy,R,"$52,864,741 ","$113,976,921.00"
Tin Men,male,1,6-Mar-87,Comedy,,"$25,411,386 ","$54,787,202.00"
Ernest Goes to Camp,male,1,22-May-87,Comedy,,"$23,509,382 ","$50,686,462.00"
Benji the Hunted,male,1,5-Jun-87,Adventure,,"$15,212,539 ","$32,798,382.00"
Adventures in Babysitting,female,2,3-Jul-87,Comedy,,"$33,790,923 ","$72,853,569.00"
Stakeout,male,1,5-Aug-87,Comedy,R,"$65,673,233 ","$141,592,160.00"
Can't Buy Me Love,female,2,14-Aug-87,Romantic Comedy,,"$31,623,833 ","$68,181,300.00"
Hello Again,female,2,6-Nov-87,Comedy,,"$20,419,446 ","$44,024,529.00"
3 Men and a Baby,male,1,25-Nov-87,Comedy,PG,"$167,780,960 ","$353,334,607.00"
Good Morning Vietnam,male,1,23-Dec-87,Comedy,R,"$123,922,370 ","$254,414,837.00"
Shoot to Kill,male,1,12-Feb-88,Action,,"$29,300,000 ","$60,097,074.00"
D.O.A.,male,1,18-Mar-88,Thriller/Suspense,,"$12,706,478 ","$26,062,188.00"
Return to Snowy River,female,2,15-Apr-88,Adventure,PG,"$13,687,027 ","$28,073,384.00"
Big Business,male,1,10-Jun-88,Comedy,PG,"$40,150,487 ","$82,352,451.00"
Who Framed Roger Rabbit?,male,1,22-Jun-88,Comedy,PG,"$154,112,492 ","$316,250,084.00"
Cocktail,female,2,29-Jul-88,Drama,R,"$78,222,753 ","$160,442,289.00"
The Rescue,male,1,5-Aug-88,Action,,"$5,855,392 ","$12,009,960.00"
Heartbreak Hotel,female,2,30-Sep-88,Comedy,,"$5,509,417 ","$11,300,331.00"
The Good Mother,female,2,4-Nov-88,Drama,,"$4,764,606 ","$9,772,655.00"
Ernest Saves Christmas,male,1,11-Nov-88,Comedy,PG,"$28,202,109 ","$57,845,202.00"
Oliver & Company,male,1,18-Nov-88,Adventure,G,"$49,576,671 ","$102,254,492.00"
Beaches,female,2,21-Dec-88,Drama,PG-13,"$57,041,866 ","$120,381,757.00"
Three Fugitives,male,1,27-Jan-89,Comedy,PG-13,"$40,590,000 ","$85,757,817.00"
New York Stories,male,1,1-Mar-89,Drama,PG,"$10,763,469 ","$22,740,861.00"
Disorganized Crime,male,1,14-Apr-89,Comedy,,"$7,210,149 ","$15,233,465.00"
Dead Poets Society,male,1,2-Jun-89,Drama,PG,"$95,860,116 ","$202,531,517.00"
"Honey, I Shrunk the Kids",male,1,23-Jun-89,Adventure,PG,"$130,724,172 ","$276,191,669.00"
Turner & Hooch,male,1,28-Jul-89,Comedy,PG,"$71,079,915 ","$150,176,361.00"
Cheetah,male,1,18-Aug-89,Adventure,,"$7,882,250 ","$16,653,473.00"
An Innocent Man,male,1,6-Oct-89,Drama,R,"$19,397,847 ","$40,983,414.00"
Gross Anatomy,female,2,20-Oct-89,Drama,PG-13,"$11,346,186 ","$23,972,012.00"
The Little Mermaid,female,2,15-Nov-89,Adventure,G,"$111,543,479 ","$223,726,012.00"
Blaze,male,1,13-Dec-89,Drama,R,"$19,049,727 ","$39,884,640.00"
Stella,female,2,2-Feb-90,Drama,PG-13,"$20,062,347 ","$40,077,147.00"
