movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Cheetah,male,1,18-Aug-89,Adventure,,7882250.00,16653473.00
An Innocent Man,male,1,6-Oct-89,Drama,R,19397847.00,40983414.00
Gross Anatomy,female,2,20-Oct-89,Drama,PG-13,11346186.00,23972012.00
The Little Mermaid,female,2,15-Nov-89,Adventure,G,111543479.00,223726012.00
Blaze,male,1,13-Dec-89,Drama,R,19049727.00,39884640.00
Stella,female,2,2-Feb-90,Drama,PG-13,20062347.00,40077147.00
Where the Heart Is,female,2,23-Feb-90,Comedy,,1106475.00,2210321.00
Pretty Woman,female,2,23-Mar-90,Romantic Comedy,R,178406268.00,356389765.00
Ernest Goes to Jail,male,1,6-Apr-90,Comedy,PG,25029569.00,49999822.00
Spaced Invaders,male,1,27-Apr-90,Comedy,PG,15000000.00,29964452.00
Fire Birds,male,1,24-May-90,Action,PG-13,14760451.00,29485923.00
Dick Tracy,male,1,15-Jun-90,Action,PG,103738726.00,207231621.00
Betsy's Wedding,female,2,22-Jun-90,Comedy,R,19740070.00,39433357.00
Arachnophobia,female,2,18-Jul-90,Thriller/Suspense,PG-13,53208180.00,106290270.00
DuckTales: The Movie - Treasure of th…,male,1,3-Aug-90,Adventure,G,18075331.00,36107823.00
Taking Care of Business,male,1,17-Aug-90,Comedy,R,20005435.00,39963460.00
Mr. Destiny,male,1,12-Oct-90,Comedy,PG-13,15379253.00,30722056.00
The Rescuers Down Under,male,1,16-Nov-90,Adventure,G,27931461.00,55796728.00
3 Men and a Little Lady,male,1,21-Nov-90,Comedy,PG,71609321.00,143108869.00
Green Card,male,1,25-Dec-90,Romantic Comedy,PG-13,29804169.00,59679131.00
White Fang,male,1,18-Jan-91,Adventure,PG,34729091.00,69540672.00
Scenes from a Mall,female,2,22-Feb-91,Comedy,,9563393.00,19149495.00
Haakon Haakonsen,female,2,1-Mar-91,Adventure,PG,15024232.00,30084149.00
The Marrying Man,male,1,5-Apr-91,Romantic Comedy,R,12454768.00,24939118.00
Oscar,male,1,26-Apr-91,Comedy,PG,23562716.00,47181395.00
One Good Cop,male,1,3-May-91,Action,R,11276846.00,22580472.00
What About Bob?,male,1,17-May-91,Comedy,PG,63710000.00,127571325.00
Wild Hearts Can't Be Broken,male,1,24-May-91,Drama,,7300000.00,14617333.00
The Rocketeer,male,1,21-Jun-91,Action,PG,46573027.00,93256673.00
The Doctor,male,1,24-Jul-91,Drama,PG-13,37497480.00,75084021.00
Paradise,male,1,18-Sep-91,Drama,PG-13,18634643.00,37313540.00
Deceived,male,1,27-Sep-91,Thriller/Suspense,PG-13,28738096.00,57544453.00
Ernest Scared Stupid,male,1,11-Oct-91,Comedy,PG,14143280.00,28320147.00
Billy Bathgate,male,1,1-Nov-91,Drama,R,15565363.00,31167691.00
Beauty and the Beast,female,2,13-Nov-91,Musical,G,218951625.00,363017667.00
Father of the Bride,male,1,20-Dec-91,Comedy,PG,89325780.00,179821881.00
The Hand That Rocks the Cradle,female,2,10-Jan-92,Thriller/Suspense,R,88036683.00,178831137.00
Medicine Man,male,1,7-Feb-92,Drama,PG-13,44948240.00,91304495.00
