movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Spaced Invaders,male,1,27-Apr-90,Comedy,PG,15000000,29964452
Fire Birds,male,1,24-May-90,Action,PG-13,14760451,29485923
Dick Tracy,male,1,15-Jun-90,Action,PG,103738726,207231621
Betsy's Wedding,female,2,22-Jun-90,Comedy,R,19740070,39433357
Arachnophobia,female,2,18-Jul-90,Thriller/Suspense,PG-13,53208180,106290270
DuckTales: The Movie - Treasure of th…,male,1,3-Aug-90,Adventure,G,18075331,36107823
Taking Care of Business,male,1,17-Aug-90,Comedy,R,20005435,39963460
Mr. Destiny,male,1,12-Oct-90,Comedy,PG-13,15379253,30722056
The Rescuers Down Under,male,1,16-Nov-90,Adventure,G,27931461,55796728
3 Men and a Little Lady,male,1,21-Nov-90,Comedy,PG,71609321,143108869
Green Card,male,1,25-Dec-90,Romantic Comedy,PG-13,29804169,59679131
White Fang,male,1,18-Jan-91,Adventure,PG,34729091,69540672
Scenes from a Mall,female,2,22-Feb-91,Comedy,,9563393,19149495
Haakon Haakonsen,female,2,1-Mar-91,Adventure,PG,15024232,30084149
The Marrying Man,male,1,5-Apr-91,Romantic Comedy,R,12454768,24939118
Oscar,male,1,26-Apr-91,Comedy,PG,23562716,47181395
One Good Cop,male,1,3-May-91,Action,R,11276846,22580472
What About Bob?,male,1,17-May-91,Comedy,PG,63710000,127571325
Wild Hearts Can't Be Broken,male,1,24-May-91,Drama,,7300000,14617333
The Rocketeer,male,1,21-Jun-91,Action,PG,46573027,93256673
The Doctor,male,1,24-Jul-91,Drama,PG-13,37497480,75084021
Paradise,male,1,18-Sep-91,Drama,PG-13,18634643,37313540
Deceived,male,1,27-Sep-91,Thriller/Suspense,PG-13,28738096,57544453
Ernest Scared Stupid,male,1,11-Oct-91,Comedy,PG,14143280,28320147
Billy Bathgate,male,1,1-Nov-91,Drama,R,15565363,31167691
Beauty and the Beast,female,2,13-Nov-91,Musical,G,218951625,363017667
Father of the Bride,male,1,20-Dec-91,Comedy,PG,89325780,179821881
The Hand That Rocks the Cradle,female,2,10-Jan-92,Thriller/Suspense,R,88036683,178831137
Medicine Man,male,1,7-Feb-92,Drama,PG-13,44948240,91304495
Blame it on the Bellboy,male,1,6-Mar-92,Comedy,PG-13,2891055,5872667
Noises Off...,female,2,20-Mar-92,Comedy,PG-13,2280148,4631720
Straight Talk,female,2,3-Apr-92,Comedy,PG,21202099,43068356
Newsies,female,2,8-Apr-92,,PG,2706352,5497481
Passed Away,male,1,24-Apr-92,,PG-13,4030793,8187848
Encino Man,male,1,22-May-92,Comedy,PG,40057130,81369058
Sister Act,female,2,29-May-92,Comedy,PG,139605150,283583472
Honey I Blew Up the Kid,male,1,17-Jul-92,Comedy,PG,58662452,119162518
A Stranger Among Us,male,1,17-Jul-92,Drama,PG-13,12282994,24950752
3 Ninjas,male,1,7-Aug-92,Action,PG,29028000,58965304
A Gun in Betty Lou's Handbag,female,2,21-Aug-92,,PG-13,3591460,7295423
Captain Ron,male,1,18-Sep-92,Comedy,PG-13,22518097,45741576
Sarafina!,female,2,18-Sep-92,Drama,PG-13,7306242,14841352
Innocent Blood,male,1,25-Sep-92,Horror,R,4877567,9907922
The Mighty Ducks,male,1,2-Oct-92,Comedy,PG,50752337,103120810
1492: Conquest of Paradise,male,1,9-Oct-92,Adventure,PG-13,7099531,14421454
Consenting Adults,female,2,16-Oct-92,Drama,R,21591728,43859823
Aladdin,male,1,11-Nov-92,Comedy,G,217350219,441969178
The Distinguished Gentleman,male,1,4-Dec-92,Comedy,R,46434570,94349900
The Muppet Christmas Carol,male,1,11-Dec-92,Comedy,G,27281507,55417615
Alive,male,1,15-Jan-93,Adventure,R,36299670,73914543
Aspen Extreme,female,2,22-Jan-93,Romantic Comedy,PG-13,7843388,15970955
Homeward Bound: The Incredible Journey,male,1,3-Feb-93,Adventure,G,41833324,85182343
The Cemetery Club,male,1,3-Feb-93,Comedy,PG-13,5583621,11369541
Swing Kids,female,2,5-Mar-93,Musical,PG-13,5632086,11468231
A Far Off Place,male,1,12-Mar-93,Adventure,PG,12890752,26248558
Born Yesterday,male,1,26-Mar-93,Romantic Comedy,PG,17760754,36165012
The Adventures of Huck Finn,male,1,2-Apr-93,Adventure,PG,24103594,49080505
Bound by Honor,male,1,16-Apr-93,,R,4496583,9156084
Indian Summer,female,2,23-Apr-93,Comedy,R,14717851,29968953
Super Mario Bros.,male,1,28-May-93,Action,PG,20844907,42445058
Guilty as Sin,male,1,4-Jun-93,Thriller/Suspense,R,22622537,46064723
Life With Mikey,male,1,4-Jun-93,Comedy,PG,12349549,25146538
What's Love Got to Do With It,female,2,9-Jun-93,Drama,R,39100956,79618610
Son in Law,male,1,2-Jul-93,Comedy,PG-13,25989889,52921433
Hocus Pocus,female,2,16-Jul-93,Comedy,PG,39360491,80147079
Another Stakeout,male,1,23-Jul-93,Comedy,PG-13,20107504,40943541
My Boyfriend's Back,female,2,6-Aug-93,,PG-13,3218882,6554384
Father Hood,male,1,27-Aug-93,,PG-13,3268203,6654819
The Joy Luck Club,female,2,8-Sep-93,Drama,R,32790064,66768171
Money for Nothing,female,2,10-Sep-93,Comedy,R,1044824,2127496
The Program,female,2,24-Sep-93,Action,R,23042200,46919256
Cool Runnings,male,1,1-Oct-93,Comedy,PG,68856263,140392731
The Nightmare Before Christmas,male,1,13-Oct-93,Musical,PG,50408318,100026637
The Three Musketeers,male,1,12-Nov-93,Adventure,PG,53661805,109310377
Sister Act 2 Back in the Habit,female,2,10-Dec-93,Comedy,PG,57319029,116965668
Tombstone,male,1,25-Dec-93,Western,R,56505065,115781734
The Air Up There,male,1,7-Jan-94,Comedy,PG,20782439,42940186
Cabin Boy,male,1,7-Jan-94,Comedy,PG-13,3469493,7168577
Iron Will,male,1,14-Jan-94,Drama,PG,20623071,42610902
Red Rock West,male,1,28-Jan-94,,R,2502551,5170709
Blank Check,male,1,11-Feb-94,Comedy,PG,30573770,63170804
Angie,female,2,4-Mar-94,Comedy,R,9252349,19116981
The Ref,male,1,9-Mar-94,Comedy,R,11325885,23401275
D2: The Mighty Ducks,male,1,25-Mar-94,Comedy,PG,45604206,94226333
Holy Matrimony,female,2,8-Apr-94,Comedy,,713234,1473665
White Fang 2: Myth of the White Wolf,male,1,15-Apr-94,Adventure,PG,8752399,18083994
The Inkwell,male,1,22-Apr-94,Comedy,R,8864699,18316030
When a Man Loves a Woman,female,2,29-Apr-94,Drama,R,50021959,103354194
3 Ninjas Kick Back,male,1,6-May-94,Action,PG,11744960,24267154
Renaissance Man,male,1,3-Jun-94,Comedy,PG-13,24172899,49945474
The Lion King,male,1,15-Jun-94,Adventure,G,422780140,761640898
I Love Trouble,male,1,29-Jun-94,Romantic Comedy,PG,30806194,63651027
Angels in the Outfield,female,2,15-Jul-94,Comedy,PG,50236831,103798152
In the Army Now,male,1,12-Aug-94,Comedy,PG,28881266,59673787
Color of Night,male,1,19-Aug-94,Thriller/Suspense,R,19750470,40804816
Camp Nowhere,male,1,26-Aug-94,Comedy,PG,10442641,21576332
It's Pat,female,2,26-Aug-94,Comedy,,60822,125666
A Simple Twist of Fate,female,2,2-Sep-94,Drama,PG-13,3404935,7035189
Quiz Show,male,1,14-Sep-94,Drama,PG-13,24787282,50840394
Terminal Velocity,male,1,23-Sep-94,Action,PG-13,16478900,34048315
Ed Wood,male,1,30-Sep-94,Comedy,R,5828466,12042634
The Puppet Masters,male,1,21-Oct-94,Horror,R,8579626,17727017
Squanto: A Warrior's Tale,male,1,28-Oct-94,Drama,PG,3319344,6858345
The Santa Clause,male,1,11-Nov-94,Comedy,PG,144833357,298369717
A Low Down Dirty Shame,male,1,23-Nov-94,Action,R,29317886,60321919
The Jungle Book,male,1,25-Dec-94,Adventure,PG,44342956,88930321
Houseguest,male,1,6-Jan-95,Comedy,PG,26325256,51016522
Bad Company,female,2,20-Jan-95,Thriller/Suspense,R,3523909,6829092
Miami Rhapsody,male,1,27-Jan-95,Romantic Comedy,PG-13,5086578,9857435
The Jerky Boys,male,1,3-Feb-95,Comedy,R,7555256,14641561
Heavy Weights,male,1,17-Feb-95,Comedy,PG,17671310,34245779
Man of the House,male,1,3-Mar-95,Comedy,PG,40029009,77573459
Roommates,male,1,3-Mar-95,Comedy,PG,12076989,23404369
Tall Tale,male,1,24-Mar-95,Western,PG,8247627,15983331
A Pyromaniac's Love Story,female,2,28-Mar-95,Romantic Comedy,PG,468240,907414
Jefferson in Paris,male,1,31-Mar-95,Drama,PG-13,2461628,4770461
Funny Bones,male,1,31-Mar-95,Comedy,R,529135,1025425
A Goofy Movie,male,1,7-Apr-95,Comedy,G,35336439,68479579
While You Were Sleeping,female,2,21-Apr-95,Romantic Comedy,PG,81057016,157082900
Crimson Tide,female,2,12-May-95,Action,R,91387195,177102077
Mad Love,male,1,26-May-95,Drama,PG-13,15446532,29934306
Pocahontas,female,2,10-Jun-95,Adventure,G,141579773,274370957
Judge Dredd,male,1,30-Jun-95,Action,R,34687912,67222776
Operation Dumbo Drop,male,1,28-Jul-95,Adventure,PG,24670346,47809421
Dangerous Minds,male,1,11-Aug-95,Drama,R,84919401,164552293
A Kid in King Arthur's Court,male,1,11-Aug-95,Adventure,PG,13406717,25981285
The Tie That Binds,male,1,8-Sep-95,Thriller/Suspense,R,5762795,11167895
Unstrung Heroes,female,2,15-Sep-95,Drama,PG,7929000,15365850
The Big Green,male,1,29-Sep-95,Comedy,PG,17736619,34372339
Dead Presidents,male,1,4-Oct-95,Drama,R,24120194,46741467
The Scarlet Letter,male,1,13-Oct-95,Drama,R,10359006,20075033
Feast of July,male,1,13-Oct-95,Drama,R,293274,568342
Powder,male,1,27-Oct-95,Drama,PG-13,30833914,59727216
Toy Story,male,1,22-Nov-95,Adventure,G,191796233,370409631
Father of the Bride Part II,male,1,8-Dec-95,Comedy,PG,76578911,147658438
Nixon,male,1,20-Dec-95,Drama,R,13668249,26302005
Tom and Huck,male,1,22-Dec-95,Adventure,PG,23837227,45911517
Mr. Holland's Opus,male,1,29-Dec-95,Drama,PG,82582604,157508868
White Squall,female,2,2-Feb-96,Adventure,PG-13,10229300,19509726
Muppet Treasure Island,female,2,16-Feb-96,Adventure,G,34327391,65470567
Mr. Wrong,male,1,16-Feb-96,Romantic Comedy,PG-13,12805071,24422334
Before and After,female,2,23-Feb-96,Drama,PG-13,8642118,16482589
Up Close & Personal,female,2,1-Mar-96,Drama,PG-13,51045801,97356578
Homeward Bound II: Lost in San Franc…,male,1,8-Mar-96,Adventure,G,32709423,62384706
Two Much,female,2,15-Mar-96,Romantic Comedy,PG-13,1078555,2057055
Un indien dans la ville,female,2,22-Mar-96,Comedy,PG,1029731,1963937
James and the Giant Peach,male,1,12-Apr-96,Adventure,PG,28921264,55159783
Celtic Pride,male,1,19-Apr-96,Comedy,PG-13,9240378,17623615
Last Dance,male,1,3-May-96,Drama,R,5857534,11171714
Boys,male,1,10-May-96,Drama,PG-13,21930418,41826566
Spy Hard,male,1,24-May-96,Comedy,PG-13,26936265,51373912
Eddie,male,1,31-May-96,Comedy,PG-13,31369401,59828966
The Rock,female,2,7-Jun-96,Action,R,134069511,255702705
The Hunchback of Notre Dame,male,1,21-Jun-96,Adventure,G,100138851,190988799
Phenomenon,male,1,5-Jul-96,Drama,PG,104636382,199559799
Kazaam,male,1,17-Jul-96,Comedy,PG,18880508,36009655
Jack,male,1,9-Aug-96,Drama,PG-13,58617334,111792852
First Kid,male,1,30-Aug-96,Comedy,PG,26465920,50465108
The Rich Man's Wife,female,2,13-Sep-96,Thriller/Suspense,R,8538318,16284619
D3: The Mighty Ducks,male,1,4-Oct-96,Comedy,PG,22936273,43713554
The Associate,male,1,25-Oct-96,Comedy,PG-13,12772657,24333094
Ransom,female,2,8-Nov-96,Action,R,136492681,259807820
The War at Home,male,1,20-Nov-96,,R,34368,65543
101 Dalmatians,male,1,27-Nov-96,Comedy,G,136189294,258728898
The Preacher's Wife,female,2,13-Dec-96,Drama,PG,48102795,91076877
Evita,female,2,25-Dec-96,Musical,PG,50047179,92077628
Metro,male,1,17-Jan-97,Action,R,32017895,58804106
Prefontaine,male,1,24-Jan-97,Drama,PG-13,590817,1085093
Shadow Conspiracy,male,1,31-Jan-97,Thriller/Suspense,R,2154540,3957025
That Darn Cat,female,2,14-Feb-97,Comedy,PG,18301828,33613158
Jungle 2 Jungle,male,1,7-Mar-97,Comedy,PG,59925026,110058379
The Sixth Man,male,1,28-Mar-97,Comedy,PG-13,14765099,27117599
Grosse Pointe Blank,male,1,11-Apr-97,Black Comedy,R,28084357,51579764
Romy and Michele's High School Reunion,female,2,25-Apr-97,Comedy,R,29235353,53693680
Gone Fishin',male,1,30-May-97,Comedy,PG,19745922,36265379
Con Air,female,2,6-Jun-97,Action,R,101117573,185712664
Hercules,male,1,13-Jun-97,Adventure,G,99112101,182029412
George Of The Jungle,male,1,16-Jul-97,Comedy,PG,105263257,193326632
Nothing To Lose,male,1,18-Jul-97,Comedy,R,44480039,81692095
Air Bud,male,1,1-Aug-97,Comedy,PG,24646936,45266588
G.I. Jane,female,2,22-Aug-97,Drama,R,48169156,88467531
A Thousand Acres,female,2,19-Sep-97,Drama,R,7928412,14561324
Washington Square,female,2,5-Oct-97,Drama,PG,1775644,3257546
Rocket Man,male,1,10-Oct-97,Comedy,PG,15448043,28371890
Playing God,male,1,17-Oct-97,Thriller/Suspense,R,4166918,7652965
Flubber,male,1,26-Nov-97,Comedy,PG,92993801,170406423
An American Werewolf in Paris,male,1,25-Dec-97,Horror,R,26570463,48546161
